제목,내용,카테고리,접수일시,processed_content
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 신속한 조치를 요청합니다.,안전,2024-10-28,어린이 보호구역 안전시설을 강화해 신속한 조치를
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,2024-10-28,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 소득 기준을 현실화해야
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-10-28,노인 복지 서비스 확대가 서류 준비 과정이 너무
경기 수원시 지역 미세먼지 대책을 강화해 주세요,경기 수원시 지역 미세먼지 대책을 강화해 주세요. 주민 건강이 위협받고 있습니다.,환경,2024-10-28,경기 수원시 지역 미세먼지 대책을 강화해 주민 건강이 위협받고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2024-10-29,재활용 분리수거 시스템 개선이 체계적인 관리가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,2024-10-30,가로등이 고장난 사고 예방이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2024-10-31,서류 발급 절차를 간소화해 업무 효율성을 높여야
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2024-10-31,도시 녹지 공간을 확대해 예산 확대가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2024-11-01,대중교통 환승 시스템 개선이 장기적인 계획 수립을
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-11-02,노인 복지 서비스 확대가 서류 준비 과정이 너무
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-11-02,노인 복지 서비스 확대가 온라인 신청 시스템 개선이
전북 전주시 도로 포장 상태가 매우 불량합니다,전북 전주시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2024-11-02,전북 전주시 도로 포장 상태가 매우 장기적인 계획 수립을
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 디지털 전환이 시급합니다.,행정,2024-11-03,행정 정보 공개를 확대해 디지털 전환이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 정기적인 점검이 필요합니다.,안전,2024-11-03,재난 대응 시스템 개선이 정기적인 점검이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 소득 기준을 현실화해야 합니다.,복지,2024-11-03,보육료 지원이 실제 필요한 가정에 제대로 전달되지 소득 기준을 현실화해야
경기 성남시 도로 포장 상태가 매우 불량합니다,경기 성남시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2024-11-03,경기 성남시 도로 포장 상태가 매우 장기적인 계획 수립을
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 예방 대책을 마련해 주세요.,안전,2024-11-04,가로등이 고장난 예방 대책을 마련해
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2024-11-05,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2024-11-05,도시 녹지 공간을 확대해 예산 확대가
출퇴근 시간 전남 여수시 버스 배차 간격이 너무 깁니다,출퇴근 시간 전남 여수시 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2024-11-05,출퇴근 시간 전남 여수시 버스 배차 간격이 너무 사고 위험이 높아지고
경기 성남시 도로 포장 상태가 매우 불량합니다,경기 성남시 도로 포장 상태가 매우 불량합니다. 사고 위험이 높아지고 있습니다.,교통,2024-11-07,경기 성남시 도로 포장 상태가 매우 사고 위험이 높아지고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 시민 참여 방안을 마련해 주세요.,환경,2024-11-07,재활용 분리수거 시스템 개선이 시민 참여 방안을 마련해
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-11-09,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2024-11-10,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 디지털 전환이 시급합니다.,행정,2024-11-10,행정 정보 공개를 확대해 디지털 전환이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2024-11-11,서류 발급 절차를 간소화해 업무 효율성을 높여야
울산 남구 공원 관리가 제대로 되지 않고 있습니다,울산 남구 공원 관리가 제대로 되지 않고 있습니다. 주민 건강이 위협받고 있습니다.,환경,2024-11-11,울산 남구 공원 관리가 제대로 되지 않고 주민 건강이 위협받고
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 투명성을 강화해야 합니다.,행정,2024-11-11,서류 발급 절차를 간소화해 투명성을 강화해야
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,2024-11-12,주차 공간 부족 문제를 해결해 긴급한 대책 마련이
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,2024-11-12,온라인 행정 시스템이 디지털 전환이
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2024-11-12,대중교통 환승 시스템 개선이 긴급한 대책 마련이
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-11-13,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 생활 환경이 악화되고 있습니다.,환경,2024-11-13,도시 녹지 공간을 확대해 생활 환경이 악화되고
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2024-11-14,가로등이 고장난 주민 불안감이 증가하고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 주민 건강이 위협받고 있습니다.,환경,2024-11-14,재활용 분리수거 시스템 개선이 주민 건강이 위협받고
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,2024-11-14,온라인 행정 시스템이 디지털 전환이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2024-11-15,공공시설 안전 점검을 철저히 예방 대책을 마련해
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-11-16,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,2024-11-17,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 지역별 격차가
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 사고 위험이 높아지고 있습니다.,교통,2024-11-17,주차 공간 부족 문제를 해결해 사고 위험이 높아지고
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 투명성을 강화해야 합니다.,행정,2024-11-17,서류 발급 절차를 간소화해 투명성을 강화해야
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2024-11-17,생활 소음 규제를 강화해야 주민 건강이 위협받고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 시민 중심 서비스가 필요합니다.,행정,2024-11-17,공무원 응대 서비스 개선이 시민 중심 서비스가
강원 춘천시 도로 포장 상태가 매우 불량합니다,강원 춘천시 도로 포장 상태가 매우 불량합니다. 경제적 손실이 발생하고 있습니다.,교통,2024-11-18,강원 춘천시 도로 포장 상태가 매우 경제적 손실이 발생하고
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 투명성을 강화해야 합니다.,행정,2024-11-20,민원 처리 속도가 너무 투명성을 강화해야
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,2024-11-20,행정 정보 공개를 확대해 접근성을 개선해
대구 수성구 지역에 CCTV 설치를 요청합니다,대구 수성구 지역에 CCTV 설치를 요청합니다. 신속한 조치를 요청합니다.,안전,2024-11-20,대구 수성구 지역에 설치를 신속한 조치를
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 주민 불안감이 증가하고 있습니다.,안전,2024-11-20,재난 대응 시스템 개선이 주민 불안감이 증가하고
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2024-11-21,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
세종시 지역에 CCTV 설치를 요청합니다,세종시 지역에 CCTV 설치를 요청합니다. 주민 불안감이 증가하고 있습니다.,안전,2024-11-21,세종시 지역에 설치를 주민 불안감이 증가하고
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2024-11-21,공공시설 안전 점검을 철저히 정기적인 점검이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 사고 예방이 시급합니다.,안전,2024-11-22,공공시설 안전 점검을 철저히 사고 예방이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2024-11-22,재난 대응 시스템 개선이 신속한 조치를
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-11-22,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2024-11-23,재난 대응 시스템 개선이 사고 예방이
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 사고 예방이 시급합니다.,안전,2024-11-23,어린이 보호구역 안전시설을 강화해 사고 예방이
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2024-11-24,생활 소음 규제를 강화해야 생활 환경이 악화되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2024-11-24,생활 소음 규제를 강화해야 생활 환경이 악화되고
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-11-25,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,2024-11-26,보육료 지원이 실제 필요한 가정에 제대로 전달되지 담당 공무원의 안내가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2024-11-27,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2024-11-27,가로등이 고장난 주민 불안감이 증가하고
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2024-11-28,가로등이 고장난 정기적인 점검이
경기 성남시 지역 신호등 체계 개선이 필요합니다,경기 성남시 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2024-11-29,경기 성남시 지역 신호등 체계 개선이 장기적인 계획 수립을
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,2024-11-29,공무원 응대 서비스 개선이 업무 효율성을 높여야
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2024-11-29,가로등이 고장난 정기적인 점검이
경기 성남시 지역 신호등 체계 개선이 필요합니다,경기 성남시 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2024-11-30,경기 성남시 지역 신호등 체계 개선이 시민들의 불편이 가중되고
경기 성남시 공원 관리가 제대로 되지 않고 있습니다,경기 성남시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2024-12-01,경기 성남시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2024-12-01,도시 녹지 공간을 확대해 체계적인 관리가
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2024-12-02,서류 발급 절차를 간소화해 업무 효율성을 높여야
