date,district,service_type,usage_count,processing_time,satisfaction,policy_intervention
2021-01-03,마포구,쓰레기수거,31,7,3.17,0
2021-01-03,마포구,문화행사,21,12,3.31,0
2021-01-03,마포구,건강검진,18,47,2.88,0
2021-01-04,강북구,민원처리,76,49,2.9,0
2021-01-04,강북구,복지신청,66,56,2.96,0
2021-01-04,강북구,교통정보,90,4,3.03,0
2021-01-04,강북구,환경신고,31,35,3.21,0
2021-01-04,강북구,세금납부,62,20,3.17,0
2021-01-04,강북구,시설예약,52,15,3.43,0
2021-01-04,강북구,주차정보,77,2,3.12,0
2021-01-04,강북구,쓰레기수거,30,8,3.61,0
2021-01-04,강북구,문화행사,47,11,3.37,0
2021-01-04,강북구,건강검진,32,65,3.54,0
2021-01-04,강남구,민원처리,107,40,2.72,0
2021-01-04,강남구,복지신청,90,55,2.77,0
2021-01-04,강남구,교통정보,119,4,3.71,0
2021-01-04,강남구,환경신고,62,29,3.64,0
2021-01-04,강남구,세금납부,100,18,3.66,0
2021-01-04,강남구,시설예약,83,13,3.14,0
2021-01-04,강남구,주차정보,105,2,3.48,0
2021-01-04,강남구,쓰레기수거,84,8,3.37,0
2021-01-04,강남구,문화행사,49,11,3.02,0
2021-01-04,강남구,건강검진,38,50,2.95,0
2021-01-04,서초구,민원처리,103,44,3.13,0
2021-01-04,서초구,복지신청,68,56,3.43,0
2021-01-04,서초구,교통정보,127,4,3.23,0
2021-01-04,서초구,환경신고,55,24,3.36,0
2021-01-04,서초구,세금납부,80,21,2.97,0
2021-01-04,서초구,시설예약,50,12,3.21,0
2021-01-04,서초구,주차정보,113,2,3.39,0
2021-01-04,서초구,쓰레기수거,44,9,2.84,0
2021-01-04,서초구,문화행사,44,12,2.94,0
2021-01-04,서초구,건강검진,37,55,3.03,0
2021-01-04,송파구,민원처리,117,39,3.36,0
2021-01-04,송파구,복지신청,101,45,2.96,0
2021-01-04,송파구,교통정보,136,4,3.31,0
2021-01-04,송파구,환경신고,47,30,3.15,0
2021-01-04,송파구,세금납부,110,20,3.3,0
2021-01-04,송파구,시설예약,68,14,3.07,0
2021-01-04,송파구,주차정보,121,2,3.29,0
2021-01-04,송파구,쓰레기수거,82,10,3.1,0
2021-01-04,송파구,문화행사,61,11,2.59,0
2021-01-04,송파구,건강검진,35,40,3.09,0
2021-01-04,마포구,민원처리,88,52,3.3,0
2021-01-04,마포구,복지신청,68,64,2.54,0
2021-01-04,마포구,교통정보,109,5,2.76,0
2021-01-04,마포구,환경신고,51,31,3.08,0
2021-01-04,마포구,세금납부,86,24,3.25,0
2021-01-04,마포구,시설예약,63,14,2.95,0
2021-01-04,마포구,주차정보,108,2,3.22,0
2021-01-04,마포구,쓰레기수거,49,10,3.3,0
2021-01-04,마포구,문화행사,50,11,3.12,0
2021-01-04,마포구,건강검진,30,47,3.31,0
2021-01-05,강북구,민원처리,85,40,3.46,0
2021-01-05,강북구,복지신청,74,62,3.76,0
2021-01-05,강북구,교통정보,81,4,2.67,0
2021-01-05,강북구,환경신고,47,31,3.18,0
2021-01-05,강북구,세금납부,72,17,3.93,0
2021-01-05,강북구,시설예약,54,15,3.42,0
2021-01-05,강북구,주차정보,90,3,2.96,0
2021-01-05,강북구,쓰레기수거,49,11,3.6,0
2021-01-05,강북구,문화행사,47,11,2.9,0
2021-01-05,강북구,건강검진,30,50,3.53,0
2021-01-05,강남구,민원처리,82,51,3.15,0
2021-01-05,강남구,복지신청,82,53,2.7,0
2021-01-05,강남구,교통정보,148,5,2.81,0
2021-01-05,강남구,환경신고,44,28,3.7,0
2021-01-05,강남구,세금납부,95,16,3.13,0
2021-01-05,강남구,시설예약,73,10,3.18,0
2021-01-05,강남구,주차정보,116,3,3.75,0
2021-01-05,강남구,쓰레기수거,77,9,2.87,0
2021-01-05,강남구,문화행사,76,12,3.2,0
2021-01-05,강남구,건강검진,43,50,3.16,0
2021-01-05,서초구,민원처리,90,42,3.19,0
2021-01-05,서초구,복지신청,72,55,3.23,0
2021-01-05,서초구,교통정보,114,5,2.4,0
2021-01-05,서초구,환경신고,57,33,2.58,0
2021-01-05,서초구,세금납부,84,19,2.78,0
2021-01-05,서초구,시설예약,61,13,3.73,0
2021-01-05,서초구,주차정보,124,3,3.42,0
2021-01-05,서초구,쓰레기수거,49,9,3.35,0
2021-01-05,서초구,문화행사,40,12,3.13,0
2021-01-05,서초구,건강검진,37,53,3.33,0
2021-01-05,송파구,민원처리,98,50,2.88,0
2021-01-05,송파구,복지신청,91,63,3.11,0
2021-01-05,송파구,교통정보,131,4,3.48,0
2021-01-05,송파구,환경신고,50,28,3.51,0
2021-01-05,송파구,세금납부,84,17,2.73,0
2021-01-05,송파구,시설예약,79,13,3.73,0
2021-01-05,송파구,주차정보,79,3,3.26,0
2021-01-05,송파구,쓰레기수거,61,9,3.32,0
2021-01-05,송파구,문화행사,51,13,3.23,0
2021-01-05,송파구,건강검진,42,48,3.18,0
2021-01-05,마포구,민원처리,92,37,2.8,0
2021-01-05,마포구,복지신청,78,61,3.14,0
2021-01-05,마포구,교통정보,105,5,3.04,0
2021-01-05,마포구,환경신고,38,30,2.91,0
2021-01-05,마포구,세금납부,84,16,3.51,0
2021-01-05,마포구,시설예약,65,15,3.49,0
2021-01-05,마포구,주차정보,120,3,2.65,0
2021-01-05,마포구,쓰레기수거,42,9,3.21,0
2021-01-05,마포구,문화행사,47,11,3.26,0
2021-01-05,마포구,건강검진,31,46,2.78,0
2021-01-06,강북구,민원처리,66,38,2.91,0
2021-01-06,강북구,복지신청,71,54,3.99,0
2021-01-06,강북구,교통정보,99,5,2.94,0
2021-01-06,강북구,환경신고,42,28,3.24,0
2021-01-06,강북구,세금납부,95,19,3.54,0
2021-01-06,강북구,시설예약,48,14,3.73,0
2021-01-06,강북구,주차정보,76,3,3.41,0
2021-01-06,강북구,쓰레기수거,42,10,3.49,0
2021-01-06,강북구,문화행사,42,10,2.98,0
2021-01-06,강북구,건강검진,29,49,3.39,0
2021-01-06,강남구,민원처리,112,38,3.31,0
2021-01-06,강남구,복지신청,96,63,3.52,0
2021-01-06,강남구,교통정보,148,5,3.18,0
2021-01-06,강남구,환경신고,41,31,3.26,0
2021-01-06,강남구,세금납부,103,17,2.88,0
2021-01-06,강남구,시설예약,89,14,3.4,0
2021-01-06,강남구,주차정보,121,3,3.48,0
2021-01-06,강남구,쓰레기수거,60,10,3.06,0
2021-01-06,강남구,문화행사,51,11,3.27,0
2021-01-06,강남구,건강검진,40,56,2.93,0
2021-01-06,서초구,민원처리,96,43,3.63,0
2021-01-06,서초구,복지신청,81,66,2.75,0
2021-01-06,서초구,교통정보,123,5,3.22,0
2021-01-06,서초구,환경신고,57,28,3.62,0
2021-01-06,서초구,세금납부,119,19,3.07,0
2021-01-06,서초구,시설예약,84,17,3.04,0
2021-01-06,서초구,주차정보,102,2,2.8,0
2021-01-06,서초구,쓰레기수거,51,8,2.97,0
2021-01-06,서초구,문화행사,49,12,3.67,0
2021-01-06,서초구,건강검진,33,54,3.14,0
2021-01-06,송파구,민원처리,103,48,2.86,0
2021-01-06,송파구,복지신청,88,60,3.35,0
2021-01-06,송파구,교통정보,130,6,3.01,0
2021-01-06,송파구,환경신고,48,28,3.03,0
2021-01-06,송파구,세금납부,85,22,3.63,0
2021-01-06,송파구,시설예약,66,13,3.34,0
2021-01-06,송파구,주차정보,105,3,3.26,0
2021-01-06,송파구,쓰레기수거,48,11,3.74,0
2021-01-06,송파구,문화행사,47,11,3.29,0
2021-01-06,송파구,건강검진,43,53,3.8,0
2021-01-06,마포구,민원처리,85,41,2.79,0
2021-01-06,마포구,복지신청,62,59,3.74,0
2021-01-06,마포구,교통정보,97,5,3.2,0
2021-01-06,마포구,환경신고,51,37,3.04,0
2021-01-06,마포구,세금납부,73,22,3.4,0
2021-01-06,마포구,시설예약,78,15,3.09,0
2021-01-06,마포구,주차정보,105,3,3.45,0
2021-01-06,마포구,쓰레기수거,56,11,3.55,0
2021-01-06,마포구,문화행사,53,12,3.15,0
2021-01-06,마포구,건강검진,35,56,2.95,0
2021-01-07,강북구,민원처리,81,43,3.21,0
2021-01-07,강북구,복지신청,73,61,3.21,0
2021-01-07,강북구,교통정보,73,5,3.39,0
2021-01-07,강북구,환경신고,50,29,3.27,0
2021-01-07,강북구,세금납부,71,23,3.17,0
2021-01-07,강북구,시설예약,56,15,3.26,0
2021-01-07,강북구,주차정보,79,3,3.52,0
2021-01-07,강북구,쓰레기수거,39,10,2.99,0
2021-01-07,강북구,문화행사,45,10,3.03,0
2021-01-07,강북구,건강검진,32,57,3.18,0
2021-01-07,강남구,민원처리,100,53,2.77,0
2021-01-07,강남구,복지신청,58,62,3.05,0
2021-01-07,강남구,교통정보,111,5,3.27,0
2021-01-07,강남구,환경신고,50,26,3.46,0
2021-01-07,강남구,세금납부,108,19,3.75,0
2021-01-07,강남구,시설예약,64,12,2.99,0
2021-01-07,강남구,주차정보,120,3,3.13,0
2021-01-07,강남구,쓰레기수거,69,8,3.63,0
2021-01-07,강남구,문화행사,54,13,3.3,0
2021-01-07,강남구,건강검진,47,52,3.33,0
2021-01-07,서초구,민원처리,108,50,3.26,0
2021-01-07,서초구,복지신청,87,59,3.63,0
2021-01-07,서초구,교통정보,106,5,3.19,0
2021-01-07,서초구,환경신고,38,30,3.0,0
2021-01-07,서초구,세금납부,100,18,3.07,0
2021-01-07,서초구,시설예약,49,14,2.47,0
2021-01-07,서초구,주차정보,83,3,3.44,0
2021-01-07,서초구,쓰레기수거,63,9,3.19,0
2021-01-07,서초구,문화행사,49,10,3.65,0
2021-01-07,서초구,건강검진,44,48,3.21,0
2021-01-07,송파구,민원처리,107,35,3.13,0
2021-01-07,송파구,복지신청,75,53,3.12,0
2021-01-07,송파구,교통정보,159,5,3.03,0
2021-01-07,송파구,환경신고,56,34,3.48,0
2021-01-07,송파구,세금납부,94,18,3.41,0
2021-01-07,송파구,시설예약,77,16,3.39,0
2021-01-07,송파구,주차정보,133,2,3.6,0
2021-01-07,송파구,쓰레기수거,64,12,2.99,0
2021-01-07,송파구,문화행사,65,12,3.0,0
2021-01-07,송파구,건강검진,38,48,3.33,0
2021-01-07,마포구,민원처리,94,42,3.19,0
2021-01-07,마포구,복지신청,93,70,3.33,0
2021-01-07,마포구,교통정보,106,5,3.38,0
2021-01-07,마포구,환경신고,37,29,2.7,0
2021-01-07,마포구,세금납부,83,21,3.06,0
2021-01-07,마포구,시설예약,76,13,2.76,0
2021-01-07,마포구,주차정보,100,3,3.71,0
2021-01-07,마포구,쓰레기수거,49,11,3.19,0
2021-01-07,마포구,문화행사,42,13,3.4,0
2021-01-07,마포구,건강검진,26,57,3.61,0
2021-01-08,강북구,민원처리,69,46,3.35,0
2021-01-08,강북구,복지신청,64,56,3.0,0
2021-01-08,강북구,교통정보,92,5,3.36,0
2021-01-08,강북구,환경신고,36,32,2.35,0
2021-01-08,강북구,세금납부,81,16,3.09,0
2021-01-08,강북구,시설예약,44,13,3.55,0
2021-01-08,강북구,주차정보,78,3,3.19,0
2021-01-08,강북구,쓰레기수거,49,10,2.82,0
2021-01-08,강북구,문화행사,44,11,2.73,0
2021-01-08,강북구,건강검진,28,57,3.46,0
2021-01-08,강남구,민원처리,104,43,3.1,0
2021-01-08,강남구,복지신청,115,62,3.33,0
2021-01-08,강남구,교통정보,152,5,3.12,0
2021-01-08,강남구,환경신고,53,29,3.19,0
2021-01-08,강남구,세금납부,109,20,3.42,0
2021-01-08,강남구,시설예약,76,15,2.6,0
2021-01-08,강남구,주차정보,137,3,3.5,0
2021-01-08,강남구,쓰레기수거,37,12,3.16,0
2021-01-08,강남구,문화행사,64,10,3.38,0
2021-01-08,강남구,건강검진,37,46,3.77,0
2021-01-08,서초구,민원처리,96,45,3.46,0
2021-01-08,서초구,복지신청,85,60,3.31,0
2021-01-08,서초구,교통정보,161,4,3.26,0
2021-01-08,서초구,환경신고,57,33,3.56,0
2021-01-08,서초구,세금납부,97,17,3.69,0
2021-01-08,서초구,시설예약,57,15,2.97,0
2021-01-08,서초구,주차정보,107,3,3.3,0
2021-01-08,서초구,쓰레기수거,63,11,3.34,0
2021-01-08,서초구,문화행사,47,13,3.56,0
2021-01-08,서초구,건강검진,32,52,3.41,0
2021-01-08,송파구,민원처리,99,51,3.15,0
2021-01-08,송파구,복지신청,85,58,3.2,0
2021-01-08,송파구,교통정보,104,4,3.68,0
2021-01-08,송파구,환경신고,45,27,2.55,0
2021-01-08,송파구,세금납부,85,17,3.69,0
2021-01-08,송파구,시설예약,84,13,3.88,0
2021-01-08,송파구,주차정보,131,2,2.45,0
2021-01-08,송파구,쓰레기수거,84,8,2.71,0
2021-01-08,송파구,문화행사,60,14,3.62,0
2021-01-08,송파구,건강검진,45,52,3.46,0
2021-01-08,마포구,민원처리,98,46,3.23,0
2021-01-08,마포구,복지신청,69,55,3.12,0
2021-01-08,마포구,교통정보,78,4,2.9,0
2021-01-08,마포구,환경신고,36,30,3.62,0
2021-01-08,마포구,세금납부,90,16,2.9,0
2021-01-08,마포구,시설예약,70,13,3.13,0
2021-01-08,마포구,주차정보,104,2,3.23,0
2021-01-08,마포구,쓰레기수거,42,9,3.3,0
2021-01-08,마포구,문화행사,33,12,3.19,0
2021-01-08,마포구,건강검진,38,51,3.61,0
2021-01-09,강북구,민원처리,47,43,3.24,0
2021-01-09,강북구,복지신청,39,60,3.21,0
2021-01-09,강북구,교통정보,49,4,2.78,0
2021-01-09,강북구,환경신고,29,26,2.99,0
2021-01-09,강북구,세금납부,37,21,3.11,0
2021-01-09,강북구,시설예약,38,13,3.28,0
2021-01-09,강북구,주차정보,44,3,2.84,0
2021-01-09,강북구,쓰레기수거,29,10,3.32,0
2021-01-09,강북구,문화행사,22,11,3.21,0
2021-01-09,강북구,건강검진,18,54,3.86,0
2021-01-09,강남구,민원처리,60,38,3.17,0
2021-01-09,강남구,복지신청,73,55,3.69,0
2021-01-09,강남구,교통정보,99,4,3.37,0
2021-01-09,강남구,환경신고,41,28,3.14,0
2021-01-09,강남구,세금납부,54,17,3.01,0
2021-01-09,강남구,시설예약,37,15,2.97,0
2021-01-09,강남구,주차정보,75,2,3.3,0
2021-01-09,강남구,쓰레기수거,44,8,3.31,0
2021-01-09,강남구,문화행사,39,10,3.7,0
2021-01-09,강남구,건강검진,28,46,3.18,0
2021-01-09,서초구,민원처리,64,45,3.36,0
2021-01-09,서초구,복지신청,40,61,2.78,0
2021-01-09,서초구,교통정보,70,4,2.98,0
2021-01-09,서초구,환경신고,35,33,3.38,0
2021-01-09,서초구,세금납부,44,19,3.56,0
2021-01-09,서초구,시설예약,42,18,3.32,0
2021-01-09,서초구,주차정보,67,2,3.24,0
2021-01-09,서초구,쓰레기수거,34,10,3.49,0
2021-01-09,서초구,문화행사,26,10,2.65,0
2021-01-09,서초구,건강검진,25,44,2.55,0
2021-01-09,송파구,민원처리,66,56,3.2,0
2021-01-09,송파구,복지신청,56,60,3.17,0
2021-01-09,송파구,교통정보,85,4,3.28,0
2021-01-09,송파구,환경신고,32,27,3.5,0
2021-01-09,송파구,세금납부,54,18,3.36,0
2021-01-09,송파구,시설예약,37,15,3.2,0
2021-01-09,송파구,주차정보,80,3,3.19,0
2021-01-09,송파구,쓰레기수거,42,11,3.37,0
2021-01-09,송파구,문화행사,31,10,2.88,0
2021-01-09,송파구,건강검진,23,46,3.14,0
2021-01-09,마포구,민원처리,53,47,3.18,0
2021-01-09,마포구,복지신청,45,60,2.61,0
2021-01-09,마포구,교통정보,54,4,2.84,0
2021-01-09,마포구,환경신고,28,34,3.57,0
2021-01-09,마포구,세금납부,45,22,3.24,0
2021-01-09,마포구,시설예약,35,14,3.11,0
2021-01-09,마포구,주차정보,54,3,3.25,0
2021-01-09,마포구,쓰레기수거,31,10,3.56,0
2021-01-09,마포구,문화행사,30,10,2.43,0
2021-01-09,마포구,건강검진,24,43,3.13,0
2021-01-10,강북구,민원처리,38,36,3.36,0
2021-01-10,강북구,복지신청,41,56,2.42,0
2021-01-10,강북구,교통정보,50,5,2.76,0
2021-01-10,강북구,환경신고,23,29,3.37,0
2021-01-10,강북구,세금납부,42,18,3.56,0
2021-01-10,강북구,시설예약,31,14,2.92,0
2021-01-10,강북구,주차정보,47,2,3.15,0
2021-01-10,강북구,쓰레기수거,34,8,2.72,0
2021-01-10,강북구,문화행사,28,11,3.0,0
2021-01-10,강북구,건강검진,21,46,3.75,0
2021-01-10,강남구,민원처리,72,42,3.85,0
2021-01-10,강남구,복지신청,48,64,3.29,0
2021-01-10,강남구,교통정보,94,5,3.21,0
2021-01-10,강남구,환경신고,29,31,3.0,0
2021-01-10,강남구,세금납부,77,20,3.09,0
2021-01-10,강남구,시설예약,47,12,2.91,0
2021-01-10,강남구,주차정보,85,2,2.89,0
2021-01-10,강남구,쓰레기수거,42,11,3.42,0
2021-01-10,강남구,문화행사,37,11,2.77,0
2021-01-10,강남구,건강검진,32,48,3.12,0
2021-01-10,서초구,민원처리,71,47,3.34,0
2021-01-10,서초구,복지신청,62,56,3.48,0
2021-01-10,서초구,교통정보,71,5,3.66,0
2021-01-10,서초구,환경신고,31,31,3.52,0
2021-01-10,서초구,세금납부,50,18,2.89,0
2021-01-10,서초구,시설예약,29,18,2.87,0
2021-01-10,서초구,주차정보,63,2,3.29,0
2021-01-10,서초구,쓰레기수거,40,10,3.03,0
2021-01-10,서초구,문화행사,28,12,3.13,0
2021-01-10,서초구,건강검진,29,52,3.42,0
2021-01-10,송파구,민원처리,68,50,3.25,0
2021-01-10,송파구,복지신청,40,62,3.0,0
2021-01-10,송파구,교통정보,69,5,3.57,0
2021-01-10,송파구,환경신고,31,30,3.71,0
2021-01-10,송파구,세금납부,58,25,3.37,0
2021-01-10,송파구,시설예약,32,16,3.31,0
2021-01-10,송파구,주차정보,82,3,3.16,0
2021-01-10,송파구,쓰레기수거,30,9,2.94,0
2021-01-10,송파구,문화행사,28,12,3.7,0
2021-01-10,송파구,건강검진,26,44,3.33,0
2021-01-10,마포구,민원처리,62,42,3.16,0
2021-01-10,마포구,복지신청,42,55,3.39,0
2021-01-10,마포구,교통정보,62,5,2.93,0
2021-01-10,마포구,환경신고,24,32,3.09,0
2021-01-10,마포구,세금납부,59,19,3.27,0
2021-01-10,마포구,시설예약,42,12,2.67,0
2021-01-10,마포구,주차정보,44,3,3.03,0
2021-01-10,마포구,쓰레기수거,43,9,3.26,0
2021-01-10,마포구,문화행사,32,14,3.82,0
2021-01-10,마포구,건강검진,24,55,3.38,0
2021-01-11,강북구,민원처리,85,42,2.95,0
2021-01-11,강북구,복지신청,61,58,3.06,0
2021-01-11,강북구,교통정보,102,5,3.23,0
2021-01-11,강북구,환경신고,47,26,3.14,0
2021-01-11,강북구,세금납부,61,16,3.18,0
2021-01-11,강북구,시설예약,52,17,3.39,0
2021-01-11,강북구,주차정보,71,3,3.57,0
2021-01-11,강북구,쓰레기수거,50,9,2.91,0
2021-01-11,강북구,문화행사,36,13,3.77,0
2021-01-11,강북구,건강검진,37,47,2.86,0
2021-01-11,강남구,민원처리,112,37,3.3,0
2021-01-11,강남구,복지신청,86,57,2.72,0
2021-01-11,강남구,교통정보,142,4,2.85,0
2021-01-11,강남구,환경신고,31,29,3.73,0
2021-01-11,강남구,세금납부,123,19,3.02,0
2021-01-11,강남구,시설예약,82,13,3.29,0
2021-01-11,강남구,주차정보,134,3,3.17,0
2021-01-11,강남구,쓰레기수거,63,9,2.95,0
2021-01-11,강남구,문화행사,53,12,3.47,0
2021-01-11,강남구,건강검진,38,57,3.12,0
2021-01-11,서초구,민원처리,98,41,2.47,0
2021-01-11,서초구,복지신청,89,64,3.12,0
2021-01-11,서초구,교통정보,119,5,2.73,0
2021-01-11,서초구,환경신고,45,32,2.82,0
2021-01-11,서초구,세금납부,93,17,3.34,0
2021-01-11,서초구,시설예약,68,12,3.55,0
2021-01-11,서초구,주차정보,96,2,3.26,0
2021-01-11,서초구,쓰레기수거,69,8,3.22,0
2021-01-11,서초구,문화행사,52,12,3.25,0
